cycle,time,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,class
1,7,3.989263,-4.185455,-3.198404,-0.431466,-1.981549,-2.751264,3
1,8,3.109711,-6.681756,1.741442,-1.739182,-3.643494,-3.83792,3
1,9,2.692596,-13.759642,4.871659,-3.728722,-4.322654,-4.503763,3
1,10,8.283496,-6.212112,4.115493,-1.619331,-2.985641,-3.84591,3
1,11,4.022882,-3.039183,3.492434,-1.741846,-2.301154,-3.989732,3
1,12,0.622874,-5.354317,-1.124028,-3.065542,-1.166557,-4.10692,3
1,13,-1.377562,-2.168346,-0.089789,-1.254448,-1.273092,-3.739375,3
1,14,2.447099,-1.728936,-5.505833,-5.217547,-1.422241,-4.213455,3
1,15,4.686825,3.169478,0.527648,-4.490446,-1.60335,-2.97765,3
1,16,1.125178,-2.477244,-3.280916,-4.908596,-0.26101,-1.211835,3
1,17,-0.191598,-2.385378,-1.604007,-2.583471,-0.351565,-0.804339,3
1,18,-0.207307,-5.283527,-1.800304,-3.124136,-0.559308,-0.601922,3
1,19,-0.019291,-2.042003,-0.561209,-0.082565,-0.495387,-0.210406,3
1,20,0.871494,-2.139691,-0.309322,0.130505,-0.402169,0.090555,3
1,21,0.308579,-0.621412,-0.377647,0.90022,-0.133169,1.028062,3
1,22,1.327363,-0.05705,-0.940356,0.90821,0.186436,1.177211,3
1,23,1.081061,1.245447,-1.4346,0.506041,0.737754,1.131933,3
1,24,0.085548,2.477996,-1.854757,0.407496,0.402169,0.777705,3
1,25,0.867454,0.762537,-0.837061,-0.069248,-0.00799,-0.146486,3
1,26,0.34615,0.312749,-0.920553,-0.03196,0.079901,-0.098545,3
1,27,0.128496,0.232757,-0.536495,-0.681823,0.013317,-0.173119,3
1,28,-0.084997,-0.644661,0.431848,-0.844289,-0.117188,-0.191763,3
1,29,-0.215389,-1.962078,0.360411,-0.396843,0.119852,0.22106,3
2,0,-4.246204,1.706973,3.623044,-0.657853,-0.181109,-0.684487,2
2,1,3.459813,1.808186,-1.13883,1.052032,-0.532675,1.992203,2
2,2,3.360104,-0.044151,-3.346414,0.93218,-1.070676,2.801868,2
2,3,3.862607,-4.949475,-2.508135,0.506041,-1.725865,3.129463,2
2,4,0.600119,-1.092557,-1.020182,1.406261,-1.781796,3.59289,2
2,5,6.59849,-1.392716,-9.518493,-0.090555,-1.704558,2.74061,2
2,6,-0.305127,1.628168,-11.197436,-0.410159,-0.601922,2.112054,2
2,7,0.568006,-0.553269,-14.93762,-0.857606,-1.286409,0.950824,2
2,8,-1.481283,-3.651999,-9.443146,-1.752499,-2.167985,1.422241,2
2,9,3.227347,-3.176908,-2.763733,-2.538194,-1.696568,0.70313,2
2,10,15.536255,11.375208,11.600385,-1.627321,0.865596,-2.042807,2
2,11,15.536255,11.375208,11.600385,-1.627321,0.865596,-2.042807,2
2,12,16.948692,28.120106,-23.561642,-21.035316,14.478093,2.335778,2
2,13,16.739172,27.942162,-14.106866,-6.956729,10.666807,3.891187,2
2,14,0.233544,12.689257,-17.439262,9.604121,2.0215,-1.936272,2
2,15,-4.028607,0.901456,-6.567873,3.40379,-4.104257,-4.53306,2
2,16,7.820456,-2.726677,3.443962,0.780368,-4.562357,-3.568919,2
2,17,7.820456,-2.726677,3.443962,0.780368,-4.562357,-3.568919,2
2,18,3.356143,0.086893,5.832716,1.731192,-2.535531,-0.178446,2
2,19,3.507463,7.885427,3.109612,4.341297,-0.775041,0.498051,2
2,20,5.557999,7.773288,-0.035659,2.058787,-0.870923,0.516694,2
2,21,4.570305,7.280891,-3.246702,1.283746,-0.692477,0.282318,2
2,22,4.418294,5.803106,-6.153298,0.524684,-0.109198,0.071911,2
2,23,3.571309,4.425452,-5.041238,0.0,-0.167792,0.039951,2
2,24,3.799947,4.727446,-2.485048,-0.146486,0.284981,0.407496,2
2,25,-0.388389,-0.010645,-2.030121,-0.783032,1.115953,0.6472,2
2,26,1.051722,-2.852499,-2.244502,0.210406,0.756398,-0.801675,2
2,27,-4.288749,13.373455,-3.15887,0.074574,0.577952,0.101208,2
2,28,1.838414,2.10022,-3.977895,0.047941,0.889566,-0.713784,2
2,29,-1.798225,-0.184878,-3.643307,-1.395607,0.215733,0.226387,2
3,0,0.511751,1.484117,-0.744309,-0.431466,-0.535338,-0.665843,1
3,1,-12.461509,-14.028666,13.195387,-2.900413,2.349095,0.822982,1
3,2,-12.461509,-14.028666,13.195387,-2.900413,2.349095,0.822982,1
3,3,9.41431,-2.63336,-10.444888,0.977458,-0.394179,-0.836299,1
3,4,9.41431,-2.63336,-10.444888,0.977458,-0.394179,-0.836299,1
3,5,7.962978,-0.504795,-1.044665,-5.792835,5.63836,4.458486,1
3,6,24.413403,14.909502,-12.468823,-3.37982,18.355963,8.267108,1
3,7,28.70959,-22.880642,21.105232,34.868874,-34.607864,-15.932295,1
3,8,8.736769,11.347634,10.573021,-13.260932,3.491681,10.448411,1
3,9,9.601779,-9.868453,12.458195,-10.123479,-1.305053,1.028062,1
3,10,-0.044836,14.576698,9.427403,-0.945497,-1.073339,1.765816,1
3,11,-7.229284,5.006594,-2.098969,2.199946,0.588605,-0.300961,1
3,12,-3.518291,0.256467,-2.560975,0.23704,0.66318,0.455437,1
3,13,9.287283,-9.623817,6.197465,-0.92419,0.186436,-0.90022,1
3,14,-1.582635,1.577567,6.700535,0.412823,-0.330258,1.84039,1
3,15,-1.894586,-9.510327,-9.60716,4.554367,0.937507,0.652526,1
3,16,-5.363297,-1.852812,-14.100151,0.838962,0.173119,0.25302,1
3,17,12.457048,7.649973,0.502616,-0.807002,-3.100166,-0.535338,1
3,18,3.659288,1.027167,3.753074,-1.281082,-1.368974,-1.270429,1
3,19,-6.679529,-3.219029,2.529466,-1.448875,0.029297,-0.274327,1
3,20,-4.875091,-2.392403,-0.051313,-0.996101,0.796348,0.990775,1
3,21,11.988344,-3.665839,4.828346,-0.165129,1.054696,0.735091,1
3,22,5.740056,0.502489,-1.634434,0.154476,2.218589,1.355657,1
3,23,-0.337948,2.374939,-5.482571,-0.820319,1.35832,1.925618,1
3,24,-2.466422,3.418353,-4.934492,-1.624657,0.852279,1.451538,1
3,25,3.608512,1.021386,-2.252928,-1.193191,-0.420813,-0.463427,1
3,26,2.1697,3.248134,-0.441859,0.202416,-0.721774,-0.865596,1
3,27,2.114013,-1.443718,2.114675,-1.241132,-0.114525,-1.763153,1
3,28,-0.292428,-3.554872,-0.483644,-2.4796,0.44212,-0.889566,1
3,29,-5.504478,0.025007,0.328958,-1.299726,0.343575,-0.394179,1
4,0,1.839397,0.908164,-0.313418,-1.028062,0.452773,-1.12128,0
4,1,2.286524,0.354873,-5.48648,0.530011,-0.077238,0.604586,0
4,2,3.319858,1.290922,-2.335744,-0.218397,-0.20508,0.125179,0
4,3,1.661937,2.428064,-1.07231,-0.535338,0.130505,-0.175783,0
4,4,2.656453,-0.566238,-0.607175,-0.660516,0.620566,-0.700467,0
4,5,1.147142,0.091285,-0.3089,-0.705794,0.969468,-0.538001,0
4,6,0.401388,-0.842187,-0.150367,-0.26101,1.302389,-0.263674,0
4,7,0.850463,-0.241174,-1.703283,-0.106535,0.929517,0.210406,0
4,8,2.870734,-1.516426,-1.23032,0.042614,0.479407,0.175783,0
4,9,1.815967,0.894065,-1.827333,-0.319605,0.436793,0.010653,0
4,10,1.947615,0.343303,-0.953956,-0.362219,0.298298,-0.436793,0
4,11,2.587853,0.080915,-0.53158,-0.628556,0.436793,-0.665843,0
4,12,1.700718,-0.201872,0.372322,-0.239704,0.292971,-0.617902,0
4,13,-0.194089,0.265708,-0.647324,0.013317,0.207743,-0.420813,0
4,14,0.516389,1.23368,-0.159822,-0.319605,0.380862,0.0,0
4,15,0.533129,0.196667,0.32935,0.103872,0.4581,-0.109198,0
4,16,0.462172,1.252627,0.525482,0.250357,0.183773,0.106535,0
4,17,1.582335,1.076604,1.169822,0.548655,0.255684,-0.324931,0
4,18,1.243877,-0.044748,1.188393,0.841626,0.530011,-0.111862,0
4,19,1.286868,0.440108,-1.242845,1.09731,0.652526,-0.396843,0
4,20,1.365688,-0.222425,-0.99468,0.383526,0.386189,-0.300961,0
4,21,0.060884,0.448817,-0.941335,0.133169,0.356892,-0.22106,0
4,22,0.587484,-0.144904,-0.963204,-0.058594,0.157139,-0.162466,0
4,23,1.709043,2.436558,0.288978,-0.138495,0.101208,-0.719111,0
4,24,1.574342,3.515152,1.99774,-1.278419,0.66318,-1.398271,0
4,25,1.574342,3.515152,1.99774,-1.278419,0.66318,-1.398271,0
4,26,2.490426,1.208266,5.045734,-0.67916,1.659281,-2.136025,0
4,27,0.280798,-6.544713,2.603157,3.347859,3.576909,-1.57938,0
4,28,0.280798,-6.544713,2.603157,3.347859,3.576909,-1.57938,0
4,29,7.804497,2.472926,-8.980839,-2.008183,9.180645,3.331879,0
5,0,-3.094873,-1.468275,2.396423,-0.700467,-0.093218,-0.484734,2
5,1,0.886788,0.062386,-2.319197,0.769715,0.572625,0.748408,2
5,2,1.083254,-0.800714,-1.722668,0.524684,0.093218,1.065349,2
5,3,0.548056,-1.805017,-1.62335,0.514031,-0.308951,1.073339,2
5,4,-0.483802,-0.048061,-3.35129,0.215733,-0.902883,1.107963,2
5,5,0.214766,-3.085827,-0.306318,-0.191763,-1.1053,0.556645,2
5,6,-0.730104,-3.797516,-6.352511,-1.025398,-1.558073,0.061258,2
5,7,2.980897,-11.63508,1.871663,0.210406,-1.171884,-0.165129,2
5,8,2.335503,-5.793977,-1.118729,0.514031,-0.125179,3.220017,2
5,9,2.482207,0.601969,-6.695599,0.431466,0.050604,3.819276,2
5,10,3.870703,0.581988,-9.409311,1.494152,-1.187864,3.102829,2
5,11,7.160499,-2.470822,-6.795998,1.038715,-2.120045,2.682016,2
5,12,7.788151,0.360469,-2.638514,-0.993438,-2.959007,2.492917,2
5,13,7.286486,-0.220607,0.035842,-1.78446,-2.159995,1.313043,2
5,14,17.168768,5.78644,2.064396,-2.351758,-1.060022,-0.6472,2
5,15,12.528745,-16.391203,-25.602888,-4.636931,14.035974,-19.314777,2
5,16,16.165668,17.524612,-27.62045,-23.062143,14.739103,-4.269386,2
5,17,17.62433,21.841225,-21.44942,-3.963098,8.115296,-0.122515,2
5,18,1.19222,-0.503458,-17.150326,5.736905,-0.452773,-3.662137,2
5,19,3.680642,-7.267179,2.018653,3.987069,-4.591654,-3.568919,2
5,20,5.706526,-4.069285,7.565909,4.120237,-4.370595,-0.90022,2
5,21,2.652377,1.630934,6.496011,4.240089,-3.004284,0.617902,2
5,22,3.356225,5.783909,0.469084,3.366503,-1.930945,0.825646,2
5,23,4.193251,5.082923,-1.135311,2.676689,-1.278419,0.623229,2
5,24,3.19469,4.041202,-1.056978,1.981549,-0.828309,0.279654,2
5,25,5.910339,2.88311,-1.320013,1.614004,-0.719111,0.141159,2
5,26,1.249476,5.842319,-2.436596,1.547419,-0.684487,0.239704,2
5,27,1.249476,5.842319,-2.436596,1.547419,-0.684487,0.239704,2
5,28,1.757388,0.222414,-6.323298,2.532867,-0.452773,-0.972131,2
5,29,1.757388,0.222414,-6.323298,2.532867,-0.452773,-0.972131,2
6,0,-1.599662,8.446029,-2.031598,-0.431466,0.380862,0.109198,2
6,1,9.427725,3.344702,1.58707,-0.910873,-0.511368,4.309337,2
6,2,13.579346,7.185148,4.492995,2.080094,-2.112054,1.755163,2
6,3,20.726934,14.951916,-6.192942,6.152391,-7.183116,-2.138688,2
6,4,14.034259,-23.685818,10.099926,3.63284,-12.067741,-14.422162,2
6,5,15.722659,10.698565,-15.661199,-11.026362,6.469332,-6.828887,2
6,6,16.194315,6.829526,-26.8331,-3.659474,5.582429,-2.772571,2
6,7,0.978744,2.939362,-16.382408,-1.707222,2.042807,-1.547419,2
6,8,0.978744,2.939362,-16.382408,-1.707222,2.042807,-1.547419,2
6,9,0.978744,2.939362,-16.382408,-1.707222,2.042807,-1.547419,2
6,10,5.34359,-3.528092,1.836607,3.121473,-3.582236,-1.278419,2
6,11,1.157484,4.079079,5.03307,4.170841,-2.239896,1.158567,2
6,12,1.144467,5.66942,3.72176,4.077623,-0.849616,1.614004,2
6,13,0.238995,4.449474,-0.326545,3.315899,-0.170456,0.70313,2
6,14,0.961438,2.732005,-1.029032,1.627321,-0.013317,0.370209,2
6,15,0.716695,3.637104,-2.602055,0.005327,0.0,-0.085228,2
6,16,-0.438752,1.319615,-2.197262,-1.454202,-0.47408,-0.522021,2
6,17,1.040788,-2.100581,0.185786,-1.179874,-0.65519,-0.857606,2
6,18,0.383102,-1.036052,-0.36147,-1.238468,0.103872,-0.665843,2
6,19,0.312335,0.96459,-1.994016,0.111862,0.210406,0.22106,2
6,20,0.874385,1.044894,-2.509826,0.889566,0.311615,0.921527,2
6,21,0.874385,1.044894,-2.509826,0.889566,0.311615,0.921527,2
6,22,-1.55587,3.873045,1.364637,1.022735,0.071911,0.567298,2
6,23,-1.55587,3.873045,1.364637,1.022735,0.071911,0.567298,2
6,24,0.603695,0.933223,-0.079172,-0.101208,-0.005327,0.109198,2
6,25,-2.138575,3.853823,1.491744,0.804339,-0.125179,0.02397,2
6,26,-0.798156,3.02764,1.088757,0.620566,-0.194426,0.045277,2
6,27,-0.452957,2.157403,0.35675,0.274327,-0.300961,0.135832,2
6,28,3.35974,2.812455,-3.21237,-0.079901,-0.553982,0.370209,2
6,29,1.007779,3.452876,-2.978946,-0.492724,-0.532675,0.026634,2
7,0,2.236236,-1.932962,-0.514017,-0.194426,-0.684487,-0.617902,2
7,1,12.583292,1.298299,-13.38185,-2.338441,-2.295827,1.885668,2
7,2,12.123577,11.867685,-21.016655,-9.561507,-2.032153,-10.160767,2
7,3,15.474773,-19.993635,-28.302876,-16.206621,7.21774,-14.408846,2
7,4,15.474773,-19.993635,-28.302876,-16.206621,7.21774,-14.408846,2
7,5,13.25905,4.179378,-7.088052,-1.448875,3.710078,3.819276,2
7,6,5.153328,5.170546,-7.652722,2.631412,1.949589,1.79245,2
7,7,5.153328,5.170546,-7.652722,2.631412,1.949589,1.79245,2
7,8,3.071244,0.368384,-6.37503,2.538194,-1.099973,-1.819084,2
7,9,3.071244,0.368384,-6.37503,2.538194,-1.099973,-1.819084,2
7,10,5.117493,-4.506918,-3.627608,2.753927,-3.315899,-2.559501,2
7,11,5.117493,-4.506918,-3.627608,2.753927,-3.315899,-2.559501,2
7,12,5.570149,-2.73378,0.340509,2.924383,-3.129463,-0.948161,2
7,13,2.636431,-3.910593,1.011296,3.712741,-3.028255,0.367545,2
7,14,0.672922,-4.996632,-1.217504,2.042807,-1.57139,1.805767,2
7,15,0.280134,-0.01385,-3.560292,2.570154,-0.077238,1.185201,2
7,16,2.546146,1.298568,-4.714327,2.620759,0.194426,0.045277,2
7,17,5.522409,3.308671,-0.749316,1.139924,-0.037287,-0.964141,2
7,18,3.980468,3.449831,5.489274,0.825646,-0.623229,-0.90022,2
7,19,-5.009478,3.474496,3.729828,-0.290308,0.138495,-0.247694,2
7,20,-0.234935,-0.025526,-0.917947,1.131933,0.508704,-1.025398,2
7,21,-0.219597,5.034061,-0.894768,0.20508,0.506041,-0.921527,2
7,22,-0.945728,1.140332,0.356326,0.412823,0.319605,-1.15324,2
7,23,-7.077814,-1.147265,-3.504026,-0.44212,0.316941,-2.223916,2
7,24,1.225639,-1.061853,6.479189,-1.848381,-0.551318,0.210406,2
7,25,-1.044292,1.221555,1.700138,0.00799,-0.801675,0.713784,2
7,26,-4.319825,-1.527433,0.47369,1.049369,-0.716447,1.313043,2
7,27,-6.527124,-0.577629,0.448518,-0.071911,-0.463427,1.936272,2
7,28,-8.152275,0.052449,2.606145,0.937507,-0.878913,1.669935,2
7,29,10.155478,0.711874,5.280615,-0.540665,0.508704,2.410352,2
8,0,-1.437548,4.367713,4.679742,-0.404833,-0.021307,-0.157139,2
8,1,2.676063,0.353636,-5.497893,1.083993,0.202416,1.467518,2
8,2,1.704499,-5.204999,-5.233079,0.948161,-0.093218,2.008183,2
8,3,-0.291444,-5.589758,-6.31595,0.332922,-0.92419,2.391709,2
8,4,-0.923262,-3.901331,-5.417198,0.532675,-1.392944,2.141352,2
8,5,-2.931922,-3.950113,-4.482651,0.047941,-1.454202,1.283746,2
8,6,-4.198928,-5.948854,-2.697863,-0.215733,-1.289072,0.767051,2
8,7,-3.565321,-3.867911,-2.224554,0.178446,-1.278419,0.817655,2
8,8,-3.182679,-1.120524,-3.34831,-0.410159,-0.897557,0.727101,2
8,9,-3.464867,-2.67742,-3.152102,-1.3743,-0.271664,-0.274327,2
8,10,-2.32632,-12.409971,-3.282292,1.278419,-1.094646,0.479407,2
8,11,-2.735333,-2.387738,-5.597849,2.378392,-1.77647,3.201374,2
8,12,4.188356,0.273748,-5.566433,0.391516,-3.017601,2.879106,2
8,13,6.92457,4.569172,-2.487809,-1.454202,-1.518122,2.072104,2
8,14,6.92457,4.569172,-2.487809,-1.454202,-1.518122,2.072104,2
8,15,13.379442,-19.316946,-27.184711,-8.043385,14.105221,-21.181803,2
8,16,20.073648,23.46589,-25.298496,-8.456208,12.701624,1.856371,2
8,17,3.207516,4.608753,-22.792465,4.333307,2.130698,-0.807002,2
8,18,2.565059,2.595367,-15.981861,2.349095,-3.630177,-1.752499,2
8,19,6.633812,-2.304497,-7.99649,0.002663,-4.940556,-1.675261,2
8,20,6.633812,-2.304497,-7.99649,0.002663,-4.940556,-1.675261,2
8,21,3.701001,-9.464908,10.864188,0.657853,-2.900413,-1.869688,2
8,22,1.282441,-2.811383,12.926122,1.936272,-1.747172,-1.238468,2
8,23,-5.379435,8.47736,7.171019,3.180067,-0.247694,-0.617902,2
8,24,-5.379435,8.47736,7.171019,3.180067,-0.247694,-0.617902,2
8,25,4.400749,5.37941,3.20366,-0.210406,0.926854,-0.615239,2
8,26,-1.543192,8.330927,-0.223115,0.551318,0.617902,-1.38229,2
8,27,-1.543192,8.330927,-0.223115,0.551318,0.617902,-1.38229,2
8,28,-3.490454,9.523194,1.061831,0.338248,0.492724,1.35033,2
8,29,-7.879293,6.59979,-3.133833,-0.897557,0.407496,1.337013,2
9,0,0.572406,2.236609,3.670556,0.620566,-0.114525,-1.235805,0
9,1,2.355698,1.990415,4.084121,1.054696,1.435558,-0.20508,0
9,2,1.120801,-3.260785,3.623895,2.588798,3.102829,-0.716447,0
9,3,3.390485,-5.435562,0.622013,2.253213,3.37183,-1.398271,0
9,4,9.347212,-5.695695,-8.322555,1.962906,3.744702,-2.000193,0
9,5,3.092698,-5.511281,-10.436956,1.305053,1.901648,-2.620759,0
9,6,-1.54447,-1.238911,-4.554541,-0.186436,-1.61134,-1.355657,0
9,7,-5.894109,-1.381952,2.867713,0.159802,-1.664608,-0.807002,0
9,8,-5.894109,-1.381952,2.867713,0.159802,-1.664608,-0.807002,0
9,9,-9.11647,-4.174103,4.571482,-0.599259,-0.098545,0.530011,0
9,10,7.370756,15.889705,-15.682164,-8.259118,10.184736,9.305823,0
9,11,24.705183,-25.198416,-13.387482,-4.559694,-6.445362,-26.854786,0
9,12,27.425049,-20.268969,-25.31203,-14.392865,0.897557,15.298412,0
9,13,20.547874,1.896762,11.083025,-12.906703,-3.017601,4.205465,0
9,14,13.167642,-5.719078,7.77004,-3.936465,-1.547419,1.241132,0
9,15,3.107343,-0.523489,1.654666,-1.222488,-0.777705,0.330258,0
9,16,-1.719331,11.001551,-2.694873,-0.43413,-1.57938,-2.626085,0
9,17,9.592419,-5.437953,3.757108,0.553982,-1.861697,-2.615432,0
9,18,6.410706,1.644075,4.520495,-1.273092,-1.278419,-0.42614,0
9,19,-2.065381,-0.589337,4.064164,0.822982,1.076003,2.181302,0
9,20,-1.950496,0.725156,-0.605962,0.833636,0.729764,2.162659,0
9,21,5.4857,-3.563995,0.916083,1.61134,0.23704,2.210599,0
9,22,6.237096,-1.086158,-1.163837,0.719111,0.506041,1.749836,0
9,23,2.249502,2.762191,-4.004988,2.386382,0.074574,0.948161,0
9,24,1.29176,-0.347953,-4.077657,0.524684,0.029297,0.532675,0
9,25,0.188314,-1.533774,-0.243443,0.340912,-0.455437,0.063921,0
9,26,-0.280353,1.259809,-0.701985,0.287644,-0.069248,-0.109198,0
9,27,0.150991,-1.323017,-0.411897,0.071911,-0.170456,-0.157139,0
9,28,2.015828,-1.857449,0.80569,0.394179,-0.300961,-1.006755,0
9,29,1.024986,-0.27816,-0.63906,0.20508,-0.364882,-0.511368,0
10,0,1.693795,-2.447185,0.243959,-0.495387,-0.556645,-0.553982,0
10,1,11.352768,-5.995194,4.932854,2.844482,3.893851,-3.670127,0
10,2,12.382103,-17.73256,-14.284002,2.231906,1.608677,-4.479793,0
10,3,-12.2498,-1.756711,-1.332662,-0.103872,-2.178639,-1.395607,0
10,4,-9.694832,-2.437039,-2.280491,-0.439456,-0.02397,-1.171884,0
10,5,7.923687,-2.994856,-2.226911,-1.062686,-0.058594,0.503377,0
10,6,-1.544968,-3.456236,11.339558,-0.362219,-1.406261,0.306288,0
10,7,-1.544968,-3.456236,11.339558,-0.362219,-1.406261,0.306288,0
10,8,-11.196363,-4.103317,11.833149,-0.335585,0.290308,0.628556,0
10,9,-0.71073,-11.419498,-4.59423,-6.131084,6.653105,5.542478,0
10,10,8.303892,14.256532,-15.320217,-5.505191,11.175511,7.063264,0
10,11,27.191248,-21.630705,-13.746395,-0.996101,-13.38611,-23.256569,0
10,12,26.716658,14.622912,-3.632014,0.833636,-2.02949,6.466669,0
10,13,20.461868,-0.989899,9.834459,-8.55209,-4.911259,4.49311,0
10,14,13.712159,-11.363253,14.116797,-3.664801,-3.084185,-1.539429,0
10,15,-4.476382,-6.576782,13.676838,-1.494152,-0.820319,0.26101,0
10,16,-2.731556,-3.68675,3.590706,2.402362,1.80843,2.413016,0
10,17,7.882667,0.45141,-3.024949,1.885668,2.391709,2.460956,0
10,18,4.947041,6.444086,-9.184106,1.139924,0.386189,0.684487,0
10,19,0.829181,-0.458682,-5.265944,-0.807002,-1.637974,-0.9162,0
10,20,8.748442,-9.836325,7.964176,-0.364882,-2.181302,-0.809665,0
10,21,3.793691,-0.006494,3.666346,-1.060022,-0.199753,2.546184,0
10,22,2.171584,4.653328,-0.369757,0.769715,1.486162,2.94569,0
10,23,6.614251,2.981494,-5.946048,1.36631,1.174547,1.352993,0
10,24,5.185305,-1.787468,-5.801579,0.053267,-0.814992,-0.364882,0
10,25,-0.081255,-3.858773,5.770657,0.005327,-0.330258,-0.300961,0
10,26,2.026084,0.992156,2.555921,1.123943,-0.079901,-0.332922,0
10,27,2.881758,1.280634,-2.594997,1.590033,-0.151812,-0.117188,0
10,28,2.820976,-1.629486,-1.675773,0.857606,-0.042614,-0.173119,0
10,29,0.514722,-0.506788,-3.018713,0.055931,-0.170456,0.186436,0
11,0,1.847522,1.219551,1.50226,0.407496,-0.106535,-1.062686,1
11,1,-2.796628,3.12829,-3.986141,-0.631219,0.753734,-0.910873,1
11,2,-4.459279,1.742847,-10.673168,-2.144015,-0.386189,-1.435558,1
11,3,-4.459279,1.742847,-10.673168,-2.144015,-0.386189,-1.435558,1
11,4,13.042065,-13.948845,9.744234,-0.402169,-0.375536,-2.325124,1
11,5,5.001417,0.741199,6.560528,-0.807002,-0.034624,0.026634,1
11,6,-2.339495,4.970295,3.932428,-0.351565,0.452773,-0.519358,1
11,7,3.20601,-11.313982,-3.903407,-0.484734,1.278419,-2.309144,1
11,8,-2.348768,-4.228796,-7.880407,-2.306481,1.61134,-1.992203,1
11,9,-1.07324,-0.424974,2.075984,-0.295634,1.869688,-1.147914,1
11,10,5.513421,-7.828006,9.429815,0.713784,2.532867,-0.87625,1
11,11,7.118041,-6.786726,7.340551,2.130698,3.132126,0.103872,1
11,12,5.695653,-7.51496,-0.439356,2.49558,2.831165,-0.103872,1
11,13,3.43291,-0.894147,-7.902601,-1.507469,5.00714,1.712549,1
11,14,8.09258,3.889882,-20.880733,-7.838306,10.504341,5.944647,1
11,15,22.761997,13.314396,-13.255133,-6.125757,5.348052,-0.514031,1
11,16,26.516743,22.01404,-23.215492,4.045663,-18.26541,-31.680817,1
11,17,14.920222,-16.902538,11.404266,-10.576252,-5.960628,1.400934,1
11,18,12.803904,6.955543,1.938829,3.40379,0.455437,2.394372,1
11,19,5.843299,12.50173,-3.422685,-3.19072,-0.854943,0.495387,1
11,20,2.024039,3.255408,4.547169,1.875014,-0.775041,-0.117188,1
11,21,11.931959,2.032029,-1.249161,1.459528,1.217161,1.811093,1
11,22,11.931959,2.032029,-1.249161,1.459528,1.217161,1.811093,1
11,23,-1.524329,4.57222,-4.901315,1.254448,2.215926,1.331686,1
11,24,-0.413441,4.447897,0.56511,2.26653,2.389045,1.347667,1
11,25,1.117464,-1.987885,6.156994,3.542285,1.422241,0.490061,1
11,26,1.117464,-1.987885,6.156994,3.542285,1.422241,0.490061,1
11,27,3.145003,-3.035978,-0.744423,1.749836,0.085228,0.498051,1
