time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,cycle,class
114,35.25,2.49,15.0,3.67,20.5,2.29,0,0
115,35.0,4.85,19.0,3.94,20.5,3.57,0,0
116,38.0,2.16,15.33,4.5,21.0,2.0,0,0
117,41.8,2.14,12.8,5.46,19.33,2.21,0,0
118,37.5,4.5,19.0,1.41,19.5,2.18,0,0
119,34.5,1.5,20.75,1.48,16.5,3.77,0,0
120,35.25,1.3,17.0,2.16,22.75,1.09,0,0
121,32.75,4.92,17.75,4.02,22.25,1.79,0,0
122,39.5,1.5,19.25,1.3,20.5,1.5,0,0
123,40.0,1.22,10.33,4.19,17.67,0.47,0,0
124,43.25,2.49,15.67,2.05,19.67,1.25,0,0
125,36.75,1.3,17.5,2.6,17.0,5.15,0,0
126,34.5,1.5,16.5,4.5,13.75,7.46,0,0
127,35.5,4.72,19.75,2.38,17.0,2.12,0,0
128,35.25,5.54,19.0,4.53,19.75,2.49,0,0
129,39.0,2.45,16.0,1.22,24.0,0.0,0,0
130,42.67,0.94,14.0,7.45,24.0,1.41,0,0
131,39.67,2.62,24.0,0.0,21.25,4.32,0,0
132,32.25,3.9,24.0,0.0,24.0,5.79,0,0
133,33.33,4.71,24.0,0.0,7.25,7.95,0,0
134,38.75,1.79,20.25,4.92,21.25,2.05,0,0
135,38.75,2.77,19.0,2.55,18.5,2.18,0,0
136,38.5,4.15,22.75,1.09,24.25,1.79,0,0
137,42.75,1.48,15.67,2.05,21.5,2.29,0,0
138,36.0,2.12,25.75,2.77,20.0,5.24,0,0
139,32.0,1.22,24.5,1.5,12.25,3.11,0,0
140,30.0,4.74,17.75,2.17,21.5,2.18,0,0
141,36.75,2.49,20.75,0.43,15.75,4.97,0,0
142,37.67,2.36,21.33,2.05,22.25,1.79,0,0
143,43.5,1.5,17.33,0.94,14.33,2.62,0,0
144,40.67,1.25,15.0,1.73,19.67,1.25,0,0
145,33.75,1.3,26.75,1.64,18.25,4.21,0,0
146,32.0,1.22,20.75,5.07,13.75,2.77,0,0
147,29.33,8.18,19.67,2.49,21.75,1.48,0,0
148,34.0,4.06,19.75,1.48,16.75,4.49,0,0
149,40.33,2.05,16.67,2.62,22.25,1.3,0,0
150,42.0,0.0,15.0,4.24,19.25,3.03,0,0
151,35.75,2.17,24.5,4.15,21.75,1.92,0,0
152,31.5,2.6,26.75,2.17,16.5,2.06,0,0
153,34.25,5.89,19.25,2.86,22.0,4.95,0,0
154,31.5,4.5,18.75,2.28,19.25,4.6,0,0
155,35.25,2.86,17.25,3.27,18.25,3.7,0,0
156,43.25,1.79,13.25,3.03,14.0,1.22,0,0
157,37.5,2.6,17.75,6.5,16.5,2.6,0,0
158,31.25,4.44,22.5,0.5,16.75,2.77,0,0
159,33.25,4.92,19.75,4.09,17.75,2.17,0,0
160,31.67,5.79,20.5,2.29,14.33,3.86,0,0
161,36.25,4.76,18.25,4.02,18.25,4.76,0,0
162,24.25,5.36,22.75,0.83,20.5,2.18,0,0
163,41.25,3.11,16.75,3.27,17.75,2.86,0,0
164,41.25,3.27,12.33,4.78,19.67,2.05,0,0
165,35.0,2.83,18.5,6.5,24.67,3.4,0,0
166,29.5,6.54,23.0,1.41,20.75,2.68,0,0
167,38.33,1.7,16.0,1.63,21.75,2.49,0,0
168,40.25,0.83,11.5,1.5,19.5,1.5,0,0
169,42.0,0.0,15.25,2.38,22.75,2.95,0,0
170,34.0,4.74,19.0,2.16,16.0,6.16,0,0
171,34.5,1.5,19.0,2.74,22.5,3.84,0,0
172,32.25,2.28,11.75,4.02,22.75,2.77,0,0
173,35.25,1.3,18.75,1.3,12.5,9.07,0,0
174,37.0,2.35,21.67,1.7,21.67,2.36,0,0
175,34.0,4.85,20.0,1.41,23.67,2.05,0,0
176,40.75,1.3,13.0,1.58,19.25,1.3,0,0
177,43.5,1.5,11.25,5.36,21.5,2.5,0,0
178,36.75,5.12,10.67,3.3,19.0,3.24,0,0
179,33.25,0.43,22.25,3.03,20.5,2.96,0,0
180,35.0,1.22,18.0,2.45,17.67,4.19,0,0
181,34.5,1.5,15.33,2.05,21.67,0.47,0,0
182,36.75,3.7,19.67,0.94,22.33,3.09,0,0
183,38.0,3.67,16.5,6.1,22.25,1.79,0,0
184,40.25,1.3,13.75,5.4,18.75,2.49,0,0
185,44.33,0.94,10.5,1.12,18.67,6.85,0,0
186,37.25,1.3,17.33,1.25,17.0,4.74,0,0
187,33.75,1.3,23.75,0.43,18.25,7.69,0,0
188,35.0,1.41,17.33,2.87,19.0,5.34,0,0
189,34.25,4.26,20.75,1.79,21.0,3.56,0,0
190,34.0,6.6,11.67,4.5,22.25,1.3,0,0
191,41.0,1.22,12.33,2.49,23.0,1.22,0,0
192,45.0,0.82,15.75,1.48,15.33,3.77,0,0
193,36.0,2.55,16.33,4.64,18.5,2.87,0,0
194,34.0,1.41,21.0,1.63,19.25,2.95,0,0
195,35.25,1.3,16.67,0.94,24.0,0.0,0,0
196,37.33,1.25,22.5,1.5,22.67,1.89,0,0
197,36.0,4.24,17.0,2.94,20.75,4.44,0,0
198,40.75,1.48,13.25,2.77,18.75,4.15,0,0
199,41.75,3.49,16.75,3.56,20.75,2.49,0,0
200,35.25,1.3,18.0,3.61,20.75,3.27,0,0
201,33.75,1.3,20.5,2.29,19.25,5.45,0,0
202,35.25,1.3,19.25,2.86,23.0,2.55,0,0
203,31.5,4.5,19.0,4.42,22.0,5.15,0,0
204,38.5,3.35,18.75,1.3,22.25,1.09,0,0
205,41.75,1.79,8.75,3.63,21.0,1.87,0,0
206,43.25,3.03,14.5,1.5,16.0,4.06,0,0
207,34.5,2.6,16.5,1.5,17.5,0.5,0,0
208,32.0,0.71,20.75,1.79,18.33,5.25,0,0
209,34.25,1.79,16.67,1.7,21.67,3.3,0,0
210,36.0,2.12,20.75,1.64,20.5,3.35,0,0
211,36.0,2.45,16.75,4.82,23.33,3.77,0,0
212,39.5,0.87,15.25,3.27,19.0,2.74,0,0
213,42.67,0.94,13.5,1.5,21.75,2.28,0,0
214,41.0,2.68,13.75,4.02,19.75,4.76,0,0
215,34.0,1.41,21.0,2.16,18.75,7.46,0,0
216,35.0,1.22,17.25,2.17,21.75,4.49,0,0
217,36.75,1.3,19.25,3.56,23.5,0.87,0,0
218,38.0,3.67,18.25,3.83,22.0,1.22,0,0
219,40.25,1.09,12.0,2.55,23.5,0.5,0,0
220,42.25,2.17,8.0,7.0,21.0,0.0,0,0
221,41.75,2.17,13.33,1.89,13.0,3.74,0,0
222,36.0,2.12,16.25,1.3,16.5,3.35,0,0
223,33.75,1.3,16.5,1.12,18.0,5.2,0,0
224,37.0,1.73,18.5,1.5,25.5,0.87,0,0
225,35.33,4.03,21.0,4.24,24.33,1.25,0,0
226,40.67,0.47,17.5,3.35,22.67,1.25,0,0
227,40.67,1.25,6.0,4.0,22.75,1.3,0,0
228,44.0,0.71,5.5,3.5,21.75,0.43,0,0
229,44.0,0.0,12.25,2.59,22.5,0.5,0,0
230,42.5,3.77,16.0,1.58,21.0,1.87,0,0
231,35.75,1.79,17.25,2.17,17.25,7.73,0,0
232,33.75,1.3,13.5,4.15,19.0,8.66,0,0
233,32.75,5.67,17.5,5.68,21.5,3.57,0,0
234,35.25,3.77,14.75,4.55,22.5,1.12,0,0
235,40.0,1.41,12.0,4.32,22.5,0.5,0,0
236,42.6,1.2,13.75,2.77,17.8,3.87,0,0
237,38.25,1.92,15.0,2.45,22.0,3.67,0,0
238,34.5,2.06,16.0,4.64,19.25,5.07,0,0
239,34.67,1.89,11.0,3.0,19.33,3.4,0,0
240,37.75,1.79,18.25,4.92,25.5,0.87,0,0
241,31.67,6.6,17.67,2.36,22.75,1.79,0,0
242,40.25,1.79,10.25,5.97,23.5,0.87,0,0
243,43.25,2.49,9.75,4.49,16.75,2.95,0,0
244,36.25,2.17,17.25,2.59,18.75,1.92,0,0
245,34.25,1.79,12.0,6.6,17.5,5.5,0,0
246,32.25,6.5,14.67,2.49,22.67,3.68,0,0
247,34.75,3.49,18.0,5.52,24.0,1.22,0,0
248,40.75,1.48,11.5,7.83,24.5,0.5,0,0
249,43.25,2.49,8.33,5.19,18.25,5.31,0,0
250,37.33,1.89,14.75,3.49,23.67,2.05,0,0
251,33.5,1.5,16.5,2.29,17.75,5.31,0,0
252,37.5,1.5,22.5,1.12,24.0,2.12,0,0
253,37.25,4.76,18.5,1.5,21.75,2.28,0,0
254,39.33,0.47,9.67,5.44,20.5,0.87,0,0
255,44.0,0.82,18.0,0.0,20.0,1.63,0,0
256,38.0,4.06,13.5,3.91,19.25,2.05,0,0
257,34.5,1.5,16.75,2.77,16.0,6.6,0,0
258,36.0,2.12,14.75,3.63,23.5,0.87,0,0
259,33.0,5.61,17.5,4.15,17.25,5.89,0,0
260,41.0,1.58,16.75,1.64,22.5,2.6,0,0
261,43.0,2.92,15.0,0.0,18.0,4.24,0,0
262,35.25,2.49,20.33,1.7,15.0,2.94,0,0
263,35.0,1.41,14.5,1.5,19.67,1.25,0,0
264,36.25,2.49,18.75,3.34,19.25,2.49,0,0
265,34.25,7.56,16.5,2.06,19.75,4.6,0,0
266,41.33,1.7,11.0,0.0,22.33,0.94,0,0
267,43.25,2.49,13.0,5.1,19.67,3.09,0,0
268,36.5,1.5,17.5,3.57,22.67,1.25,0,0
269,35.25,1.3,14.25,5.45,18.0,3.67,0,0
270,33.0,3.0,18.5,1.5,21.67,1.7,0,0
271,39.75,1.3,18.0,2.16,19.67,0.94,0,0
272,42.25,2.68,12.25,4.55,16.25,6.02,0,0
273,35.25,1.3,16.67,3.09,22.0,3.08,0,0
274,35.0,1.41,18.5,1.66,13.33,6.85,0,0
275,33.0,0.0,11.67,5.31,21.0,1.22,0,0
276,35.75,1.79,19.75,3.7,18.0,3.74,0,0
277,32.5,5.55,18.0,2.83,19.5,3.84,0,0
278,40.75,1.09,10.5,6.34,19.5,0.87,0,0
279,40.0,2.74,13.0,2.74,15.0,3.24,0,0
280,35.0,1.22,19.75,3.77,15.0,2.55,0,0
281,35.25,1.3,14.75,3.83,21.0,1.87,0,0
282,31.75,4.76,19.25,1.79,20.75,3.27,0,0
283,38.0,4.74,15.75,2.05,21.75,1.3,0,0
284,42.75,1.3,9.75,4.82,20.25,1.3,0,0
285,42.5,2.29,10.67,5.44,14.0,4.32,0,0
286,35.0,2.12,19.0,2.74,18.25,4.15,0,0
287,34.5,1.5,17.75,2.05,20.25,3.9,0,0
288,33.5,2.87,16.5,6.87,22.0,2.74,0,0
289,38.67,4.71,16.0,2.55,19.0,2.94,0,0
290,42.0,2.24,13.0,1.63,22.0,1.58,0,0
291,43.0,2.83,11.67,0.47,17.5,2.5,0,0
292,35.25,2.49,18.25,3.7,18.5,3.77,0,0
293,34.5,1.5,17.25,4.15,17.75,7.4,0,0
294,36.0,2.55,21.5,2.29,18.75,4.44,0,0
295,31.5,6.8,18.5,3.84,21.25,3.9,0,0
296,41.0,1.22,11.75,3.19,22.5,0.87,0,0
297,43.75,1.64,11.5,2.5,13.0,5.74,0,0
298,37.25,1.64,18.0,3.61,13.75,5.31,0,0
299,36.0,0.0,20.25,1.92,16.25,5.07,0,0
300,35.5,2.87,17.25,2.86,21.0,2.45,0,0
301,31.5,5.94,17.75,4.32,21.75,1.92,0,0
302,41.0,1.22,15.33,2.62,21.25,0.83,0,0
303,44.5,0.5,11.25,3.96,17.75,0.43,0,0
304,39.75,3.56,14.5,4.5,23.25,2.49,0,0
305,33.25,0.43,23.0,1.41,12.67,8.18,0,0
306,36.0,0.0,13.5,3.35,21.0,0.0,0,0
307,35.67,4.19,19.0,2.16,20.0,2.55,0,0
308,36.5,7.3,16.25,2.49,22.5,1.5,0,0
309,43.0,1.58,13.5,4.03,18.75,2.59,0,0
310,39.25,3.19,14.5,6.73,21.5,5.68,0,0
311,34.0,1.22,21.75,0.83,20.0,2.55,0,0
312,36.0,0.0,19.5,1.5,23.5,0.5,0,0
313,35.0,3.0,19.0,4.42,21.0,2.12,0,0
314,40.75,0.43,15.5,2.6,21.75,1.3,0,0
315,43.25,1.3,6.75,4.6,18.0,7.58,0,0
316,41.5,3.35,10.0,2.83,15.0,2.45,0,0
317,36.25,0.43,19.5,3.64,19.75,3.7,0,0
318,35.25,1.3,21.0,2.24,15.0,6.36,0,0
319,37.0,2.74,20.0,3.74,23.0,2.16,0,0
320,38.0,3.54,19.0,1.0,17.0,1.63,0,0
321,42.25,1.79,12.67,3.86,21.67,0.47,0,0
322,42.5,2.29,11.0,2.0,15.67,2.49,0,0
323,36.5,0.87,17.75,4.38,19.5,4.56,0,0
324,35.0,1.41,21.25,1.92,13.0,5.89,0,0
325,36.25,2.49,17.25,2.49,20.0,1.0,0,0
326,36.25,3.11,13.0,0.0,17.33,4.5,0,0
327,41.5,0.5,12.0,3.67,21.5,1.5,0,0
328,44.0,0.82,12.33,2.49,21.0,3.54,0,0
329,40.0,3.54,12.0,0.0,22.0,1.41,0,0
330,33.75,1.3,20.0,2.0,20.0,3.0,0,0
331,35.5,1.5,16.5,3.2,18.5,6.8,0,0
332,35.0,5.05,18.5,3.91,17.0,4.55,0,0
333,40.5,1.12,13.25,7.43,23.25,0.83,0,0
334,43.67,1.25,13.33,1.7,23.0,0.0,0,0
335,41.4,3.67,11.75,1.48,19.8,3.06,0,0
336,35.75,0.43,16.75,5.8,16.0,4.24,0,0
337,36.0,0.0,16.5,3.64,21.67,0.94,0,0
338,32.75,4.09,19.0,3.54,19.5,3.64,0,0
339,33.75,8.58,15.75,3.27,21.5,1.8,0,0
340,42.5,1.12,11.75,1.92,21.75,1.3,0,0
341,43.67,2.62,11.33,2.87,11.75,6.26,0,0
342,37.0,1.73,15.67,2.87,21.5,3.04,0,0
343,35.25,1.3,16.5,2.6,21.5,2.29,0,0
344,32.5,0.87,16.0,2.74,20.0,3.74,0,0
345,33.25,6.61,14.5,3.35,21.0,0.71,0,0
346,41.0,1.58,10.25,5.93,21.0,1.73,0,0
347,43.5,2.06,14.0,2.94,16.33,3.68,0,0
348,37.0,1.73,15.0,4.97,24.33,0.47,0,0
349,35.25,1.3,18.5,2.29,17.25,3.34,0,0
350,38.0,1.41,19.67,1.89,22.33,1.25,0,0
351,34.75,6.38,14.75,1.64,18.0,4.3,0,0
352,41.75,1.48,13.5,1.8,21.0,0.71,0,0
353,44.33,2.49,12.33,3.77,15.75,5.93,0,0
354,38.0,2.35,9.5,2.5,15.33,5.31,0,0
355,35.25,1.3,14.75,3.77,21.75,0.83,0,0
356,33.33,4.5,17.0,1.41,16.5,3.35,0,0
357,34.0,5.72,15.0,4.08,15.5,4.82,0,0
358,42.25,2.17,15.0,2.83,19.5,1.5,0,0
359,39.5,3.35,13.0,3.0,20.75,1.92,0,0
360,35.25,1.3,18.0,4.24,15.67,1.7,0,0
361,35.25,2.49,14.25,2.05,22.0,2.35,0,0
362,36.25,4.55,17.0,2.12,21.0,0.0,0,0
363,38.0,1.87,12.0,4.55,20.0,1.41,0,0
364,39.5,1.5,12.0,0.71,21.0,0.0,0,0
365,44.67,0.47,9.5,1.5,12.33,5.31,0,0
366,42.0,3.0,17.5,0.5,14.25,8.07,0,0
367,37.33,1.25,16.33,1.25,17.5,7.76,0,0
368,32.75,2.17,17.75,2.17,15.25,3.83,0,0
369,33.75,2.49,21.0,1.73,20.0,2.12,0,0
370,35.75,4.38,16.25,3.11,20.0,2.12,0,0
371,38.5,4.61,14.75,1.09,18.75,4.6,0,0
372,41.0,3.24,12.33,1.89,22.25,2.68,0,0
373,34.5,1.5,15.75,1.79,19.0,2.12,0,0
374,36.0,0.0,15.0,0.71,20.5,0.87,0,0
375,34.5,5.32,17.0,2.83,20.67,0.94,0,0
376,35.75,2.77,17.0,4.97,20.5,1.12,0,0
377,43.0,2.83,17.33,3.86,18.0,8.49,0,0
378,39.33,2.49,14.0,2.83,22.67,2.62,0,0
379,35.67,0.47,14.67,1.25,14.0,3.46,0,0
380,34.5,1.5,17.25,3.27,18.75,0.43,0,0
381,34.25,3.49,17.5,4.15,21.75,1.3,0,0
382,37.25,2.17,16.0,2.12,19.5,3.2,0,0
383,41.25,2.59,12.0,3.54,20.0,4.64,0,0
384,40.25,3.19,15.0,2.45,21.0,2.45,0,0
385,35.0,1.22,19.25,1.3,16.5,4.15,0,0
386,36.0,0.0,16.75,5.36,20.25,1.3,0,0
387,30.33,2.49,21.0,2.12,21.33,2.36,0,0
388,36.75,2.49,14.75,2.49,20.75,1.79,0,0
389,41.67,2.49,15.33,0.47,22.25,2.68,0,0
390,40.75,3.27,16.25,1.48,19.5,4.5,0,0
391,34.5,1.5,19.25,1.09,16.0,3.16,0,0
392,36.75,1.3,20.0,1.73,19.5,1.5,0,0
393,33.0,7.07,15.0,5.83,21.0,1.87,0,0
394,37.0,1.73,13.75,6.18,20.25,2.49,0,0
395,41.75,2.17,14.75,2.28,21.25,3.63,0,0
396,40.5,3.2,12.75,2.28,22.0,2.45,0,0
397,35.25,1.3,21.0,1.63,17.33,3.4,0,0
398,36.0,2.12,16.75,0.83,17.5,2.18,0,0
399,34.0,5.61,20.0,1.22,20.75,1.64,0,0
400,37.0,1.73,16.75,3.11,21.75,0.83,0,0
401,40.33,1.25,14.5,0.87,24.0,0.0,0,0
402,43.25,1.79,14.33,1.7,22.0,2.12,0,0
403,33.0,0.0,17.33,2.05,17.5,4.77,0,0
404,36.0,0.0,13.5,1.5,21.5,0.5,0,0
405,33.67,3.86,19.0,2.94,21.0,2.55,0,0
406,38.0,1.41,16.67,1.25,20.25,1.3,0,0
407,40.0,2.92,15.33,1.7,20.5,3.2,0,0
408,42.0,2.12,13.25,3.19,19.75,7.12,0,0
409,35.25,2.49,16.0,0.82,12.5,9.34,0,0
410,35.25,1.3,14.5,1.5,21.5,0.5,0,0
411,36.25,0.83,22.0,1.58,19.25,1.79,0,0
412,29.25,6.5,17.5,2.69,20.25,1.3,0,0
413,38.5,2.5,14.67,2.62,23.25,1.3,0,0
414,40.75,1.48,15.5,2.6,18.0,2.12,0,0
415,36.5,0.87,23.0,1.0,19.0,3.74,0,0
416,35.75,0.43,19.0,1.58,18.5,2.6,0,0
417,37.0,1.41,20.33,1.7,20.0,4.0,0,0
418,35.25,3.77,15.33,3.4,21.0,2.74,0,0
419,36.33,0.47,14.67,4.5,23.0,1.0,0,0
420,41.5,1.5,13.67,1.25,22.0,1.87,0,0
421,39.25,2.17,17.33,0.94,16.0,5.66,0,0
422,36.0,0.0,18.5,2.96,17.67,2.49,0,0
423,31.5,6.18,15.5,4.61,21.25,1.79,0,0
424,37.0,2.74,20.0,3.56,21.75,1.64,0,0
425,36.0,3.0,13.75,6.22,22.0,1.22,0,0
426,41.25,3.03,15.67,0.94,17.5,4.03,0,0
427,36.25,0.43,18.0,4.24,22.67,2.36,0,0
428,36.0,0.0,20.5,2.06,17.33,2.05,0,0
429,35.0,1.41,19.75,1.64,22.0,2.16,0,0
430,32.25,5.54,21.0,1.22,21.5,2.5,0,0
431,38.0,3.56,15.0,3.74,22.75,1.09,0,0
432,39.75,2.59,14.0,2.55,21.0,5.24,0,0
433,40.5,3.2,14.33,2.05,19.67,4.19,0,0
434,35.75,0.43,19.6,2.73,15.8,4.71,0,0
435,35.0,1.73,15.67,1.25,19.67,1.25,0,0
436,36.0,4.74,18.5,1.5,18.5,1.66,0,0
437,37.0,3.56,15.25,4.71,19.0,2.94,0,0
438,36.0,0.0,15.67,4.5,21.25,0.43,0,0
439,40.0,1.0,11.25,3.96,21.25,0.43,0,0
440,41.25,1.3,13.0,2.24,20.0,2.12,0,0
441,36.6,1.2,20.8,2.48,17.75,5.07,0,0
442,35.0,1.41,18.0,0.0,20.0,0.82,0,0
443,30.8,3.54,19.6,1.62,21.0,3.08,0,0
444,38.67,1.89,11.33,4.03,21.75,1.3,0,0
445,40.25,2.59,13.67,0.94,23.0,2.35,0,0
446,41.0,3.24,14.0,1.58,16.5,8.17,0,0
447,35.75,0.83,19.25,2.49,14.5,6.5,0,0
448,34.5,1.5,14.25,3.9,21.25,2.28,0,0
449,33.75,4.32,17.25,4.15,22.5,1.5,0,0
450,39.0,2.12,15.5,3.77,22.0,2.12,0,0
451,42.0,2.12,14.0,0.82,23.0,0.82,0,0
452,38.25,2.28,13.5,3.35,20.25,1.92,0,0
453,34.5,1.5,22.33,1.25,16.33,4.11,0,0
454,36.0,0.0,17.0,1.1,20.0,4.64,0,0
455,34.75,5.76,15.75,6.98,19.75,0.43,0,0
456,38.75,1.79,15.0,2.74,20.5,3.35,0,0
457,40.25,1.79,15.25,0.43,23.25,1.3,0,0
458,42.67,2.62,12.0,2.45,20.75,3.27,0,0
459,35.67,0.47,20.5,2.5,20.67,1.89,0,0
460,35.75,0.43,15.25,2.38,18.0,3.67,0,0
461,29.0,7.25,19.25,1.3,19.5,2.6,0,0
462,36.25,3.9,14.67,4.11,21.5,1.5,0,0
463,39.25,2.17,16.33,3.09,23.5,0.87,0,0
